place_id,DEFICIENCY_HIGH,DEFICIENCY_MEDIUM_HIGH,DEFICIENCY_MEDIUM,DEFICIENCY_MEDIUM_LOW,DEFICIENCY_LOW,TOTAL_INSPECTIONS,TOTAL_ASSESSMENTS,TOTAL_CAPACITY,ISSUANCE_DATE,PROGRAMS_PROVIDED,ACCEPTS_CHILD_CARE_SUBSIDIES,CORRECTIVE_ACTION,ADVERSE_ACTION,TEMPORARILY_CLOSED,OPERATION_ID,OPERATION_NAME,CITY,ADDRESS_LINE,ZIPCODE,google_name,google_rating,google_review_count,review_count_returned,match_confidence,YEARS_IN_OPERATION,IS_ACCREDITED,ACCEPTS_SUBSIDIES,HAS_CORRECTIVE_ACTION,HAS_ADVERSE_ACTION,WAS_TEMP_CLOSED,TOTAL_DEFICIENCIES,DEFICIENCY_RATE,HIGH_DEFICIENCY_RATE
ChIJ-waqCsyKXIYRfBkEDUbWuhI,1,6,2,0,0,3,0,56,2026-01-12,"School Age Care,Meals Provided ,After School Care,Snacks Provided,Drop-In Care,Part Time Care",N,NO,NO,NO,1520008,Revive Christian Academy,SAN ANTONIO,303 W RAMSEY RD,78216 3818,Revive Ministries San Antonio Church,4.8,34.0,5,medium_confidence,-0.0,0,0,0,0,0,9,3.0,0.333
ChIJ0-HR1TTRQIYRYUScV_MIMCw,1,7,0,0,0,5,0,107,2020-02-11,"Before School Care,Meals Provided ,After School Care,Snacks Provided,Drop-In Care,Part Time Care,Transportation to/from School",Y,NO,NO,NO,1322266,"Gloria D. Lacson FC., INC., DBA., Sweet Angels Day Care",HOUSTON,11242 HARVEST BEND BLVD,77064 4128,"Gloria D. Lacson FC., Inc., DBA. Sweet Angels Day Care",4.4,7.0,5,high_confidence,5.9,0,1,0,0,0,8,1.6,0.2
ChIJ0-XnnHHLRIYRk8mQ3Pz_7Fg,1,2,1,0,0,9,0,120,2010-05-26,"Before School Care,After School Care",N,NO,NO,NO,517168,Casner Christian Academy,AUSTIN,2700 NORTHLAND DR,78756 1000,Casner Christian Academy,,,0,high_confidence,15.6,0,0,0,0,0,4,0.444,0.111
ChIJ0-XnnHHLRIYRztvfSamRCSE,1,0,5,0,0,4,0,250,2025-11-14,"Before School Care,Meals Provided ,After School Care,Snacks Provided,Part Time Care,Transportation to/from School",N,NO,NO,NO,1518159,Hillcrest Childrens Academy,AUSTIN,3838 STECK AVE,78759 8637,Hillcrest Children's Academy,5.0,3.0,3,high_confidence,0.1,0,0,0,0,0,6,1.5,0.25
ChIJ0-ydIrDLRIYRu1qjMFMRI4g,0,1,0,0,0,8,0,29,2022-12-20,"Drop-In Care,Skill Classes,Part Time Care",N,NO,NO,NO,1407823,The Rosedale Preschool,AUSTIN,5615 ADAMS AVE,78756 1102,The Rosedale Preschool,5.0,5.0,5,high_confidence,3.0,0,0,0,0,0,1,0.125,0.0
ChIJ009M5j9wToYRVWdjU6p2ENw,4,0,0,0,0,13,0,58,2019-06-14,"Meals Provided ,Snacks Provided",Y,NO,NO,NO,1321895,The Morris Foundation Child Development Center,FORT WORTH,2701 MORESBY ST,76105,The Morris Foundation Child Development Center,5.0,2.0,2,high_confidence,6.6,0,1,0,0,0,4,0.308,0.308
ChIJ00S6Lz5sToYRDjJGh4GLEzQ,0,0,0,0,0,1,0,218,2026-03-31,"School Age Care,Before School Care,Meals Provided ,After School Care,Drop-In Care,Part Time Care,Transportation to/from School ,Field Trips",N,NO,NO,NO,1525757,Childcare Network #261,FORT WORTH,3420 W RISINGER RD,76123 2338,Childcare Network,4.2,96.0,5,high_confidence,0.0,0,0,0,0,0,0,0.0,0.0
ChIJ01_UUiigToYRh1yJ4IFMPHI,3,3,3,0,0,11,0,156,2024-05-06,"School Age Care,Before School Care,Meals Provided ,After School Care,Snacks Provided,Drop-In Care,Part Time Care,Transportation to/from School ,Field Trips",Y,NO,NO,NO,1473753,East Ridge Academy,DALLAS,6310 EASTRIDGE DR,75231 7809,Eastridge Academy,4.3,40.0,5,high_confidence,1.7,0,1,0,0,0,9,0.818,0.273
ChIJ04bzn8ZnXIYR1GRd6wvuLXY,0,0,0,0,0,4,0,81,2026-01-09,"Meals Provided ,Snacks Provided,Part Time Care",N,NO,NO,NO,1513064,enCourage Preschools,SAN ANTONIO,5450 BABCOCK RD # B128,78240 3908,enCourage Preschools San Antonio,5.0,28.0,5,medium_confidence,-0.0,0,0,0,0,0,0,0.0,0.0
ChIJ04drz5KXQIYRQ5axG5RDUz8,3,17,5,0,0,14,0,112,2023-10-02,"School Age Care,Before School Care,Meals Provided ,After School Care,Snacks Provided,Transportation to/from School ,Field Trips",Y,NO,NO,NO,1438841,Kids Connect of Houston,HOUSTON,8510 ALMEDA GENOA RD STE 404,77075 2252,Kids Connect of Houston,4.8,36.0,5,high_confidence,2.3,0,1,0,0,0,25,1.786,0.214
ChIJ04zVhANiXIYRalO6V4c-c0U,1,6,4,0,0,14,0,217,2000-04-26,"Before School Care,Meals Provided ,After School Care,Snacks Provided,Part Time Care,Transportation to/from School ,Field Trips",N,NO,NO,NO,163506,Childrens Center of Stone Oak,SAN ANTONIO,18858 STONE OAK PKWY,78258 4113,Children's Center of Stone Oak,4.6,41.0,5,high_confidence,25.7,0,0,0,0,0,11,0.786,0.071
ChIJ05StCO9fXIYRWGWfRIvcIRw,1,7,2,1,0,7,0,123,1987-12-07,"Meals Provided ,Snacks Provided,Part Time Care",Y,NO,NO,NO,103670,Blessed Sacrament Parish Daycare,SAN ANTONIO,102 SHARON DR,78216 7318,Blessed Sacrament Child Development Center,4.4,31.0,5,medium_confidence,38.1,0,1,0,0,0,11,1.571,0.143
ChIJ06KFLPulQIYRHpIXnhwUVuE,5,3,5,0,0,11,3,41,2024-01-16,"School Age Care,Before School Care,Meals Provided ,After School Care,Snacks Provided,Part Time Care,Transportation to/from School ,Field Trips",Y,NO,NO,NO,1458361,Empire Academy Inc,HOUSTON,13222 TIDWELL RD,77044 1531,Empire Academy Childcare Center,3.7,3.0,3,medium_confidence,2.0,0,1,0,0,0,13,1.182,0.455
ChIJ074xZxLKRIYRb75_3F37Hd8,2,2,1,1,0,12,1,130,2021-02-22,"School Age Care,After School Care,Part Time Care,Transportation to/from School ,Field Trips",N,NO,NO,NO,1358137,Little Tiger Chinese Immersion School,AUSTIN,708 E 51ST ST,78751 2106,Little Tiger Chinese Immersion School,,,0,high_confidence,4.9,0,0,0,0,0,6,0.5,0.167
ChIJ08nZvpDLRIYRZk0Z2hEWCrE,2,2,3,0,0,10,0,75,2022-01-19,"Snacks Provided,Part Time Care",N,NO,NO,NO,1382693,Austin Baptist Church,AUSTIN,7016 RIBELIN RANCH RD,78750 8583,Austin Baptist Church,4.7,96.0,5,high_confidence,4.0,0,0,0,0,0,7,0.7,0.2
ChIJ09U1cgOfToYRPPD3rkVxiJs,3,8,2,0,0,18,0,80,2002-06-03,"Skill Classes,Part Time Care",N,NO,NO,NO,207359,The Community School Park Cities,DALLAS,3412 BINKLEY AVE,75205 2230,The Community School of the Park Cities,4.7,22.0,5,high_confidence,23.6,0,0,0,0,0,13,0.722,0.167
